year,avg_goals_per_game
1969,3.50
1970,4.63
1971,3.55
1972,5.00
1975,3.50
1977,3.00
1979,2.50
1980,2.22
1981,3.30
1982,3.22
1983,3.46
1984,2.29
1985,3.63
1986,3.63
1987,2.80
1988,2.58
1989,3.86
1990,3.32
1991,4.75
1992,3.00
1993,4.42
1994,4.65
1995,4.34
1996,3.52
1997,3.93
1998,5.72
1999,4.60
2000,3.96
2001,4.59
2002,3.65
2003,4.31
2004,3.86
2005,3.44
2006,3.98
2007,3.53
2008,3.26
2009,3.86
2010,3.72
2011,3.19
2012,3.52
2013,3.62
2014,4.03
2015,3.13
2016,3.29
2017,3.51
2018,3.69
2019,3.59
2020,3.53
2021,4.46
2022,3.71
2023,3.29
2024,4.41
